label,comment
0,100 days pakka
0,sari nivu video na roast madi adre madvaga pubg atava free fire games hakondo madbedi a games kooda chinese
0,krishana shapa tatteleebeku
0,ಕನ್ನಡ ಇವತ್ತು ರಾಷ್ಟ್ರೀಯ ಮತ್ತು ಅಂತಾರಾಷ್ಟ್ರೀಯ ಮಟ್ಟದಲ್ಲಿ ಹೆಸರು ಮಾಡುತ್ತಿದೆ ಎಂದರೆ ಅದು ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ ರವರಂತವರ ಉತ್ಸುಕತೆಯಿಂದ ಮಾತ್ರ
0,ಕೇಳಿ ಕಾದಿರುವ ಭಾಂದವರೇnಭುವಿಯಲ್ಲಿ ಅವನ ಅರಿತವರೆnಯಾರಿಲ್ಲ ಬಿಡಿ ಮುನ್ನುಡಿnಇದ್ದರದೊಂದು ದಂತ ಕಥೆ...nನಾಕು ದಿಕ್ಕಿನಲು ಬೇಕವನುnಬಂದೂಕು ಹಿಡಿದ ಮಾನವನುnತಲೆ ಮೇಲಿದೆ ಕಿರೀಟ...nತೀರ ಹಠ...nಗುರಿ ಬೆನ್ನಟ್ಟೋ ನೇತಾರನು!nಗಾಳಿ ಮಾತಿನ ಬಜಾರುnಸುದ್ದಿ ಸಾರಿದೆ ಸುಮಾರುnಪಾತ್ರದ ಪರಿಚಯ ಇರೋರುnಆ ಬಂದೂಕಿಗೆ ಇದೆ ಘನ ಹೆಸರುnಹ್ಯಾಂಡ್ಸ್ ಅಪ್...nಅದು ಅನವರತ!nಹ್ಯಾಂಡ್ಸ್ ಅಪ್...nನಾ ಅಜ್ಞಾತ!nಹ್ಯಾಂಡ್ಸ್ ಅಪ್...nಇದೆ ವೇದಾಂತ..!nಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೋ ಅವತಾರ...nnರಂಗೇರಿದೆ ಮಾಯಾ ಜಾಲnಅನುಭವಿಸು ಓ ಪ್ರೇಕ್ಷಕನೇ!nದೃಷ್ಟಿ ನನ್ನೊಬ್ಬನ ಮೇಲಿಡಿnತಪ್ಪದು ನಿಜ ಮನರಂಜನೆ!nನನ್ನ ಗೆಲ್ಬೋದು ಅನ್ನುತnನಿಂದನು ಓರ್ವ ರಾಕ್ಷಸ!nತಪ್ಪಲ್ಲ ಆದರು ಅದುವೇnಊಹೆಗೂ ಮೀರಿದ ಸಾಹಸ!nಅನಿಸುತ್ತೆ...nಬಂದ ಹಾಗಿದೆ ರಚಿಸಲು ಹೊಸದೇ ಶಾಸನ!nಮೆರಯಲಿ ಗಗನದಲಿ ನಿಮ್ಮದೇ ಲಾಂಛನ...nಯುಧ್ಧ ಮಾಡಬೇಕು
0,sanjukuamar chatnale ğy
0,hindi song release madlilva?
0,ಶಂಕ್ರಣ್ಣ is back
0,trend setter! awesome!
0,jeevana banda haage accept madtha sagtidira wish you good luck
0,d. boss abhimani kadeyinda
0,make avane srimanarayana part 2
0,ತಿಪ್ಪನ ಕಥೆ ತುಂಬಾ ಚೆನ್ನಾಗಿದೆ ಅಕ್ಕ
0,asn releasing onnkannada dec 27ntelugu jan 1stntamil jan 3rdnmalayalam jan 3rdnhindi jan 17
1,super movie sir.. ಆದ್ರೆ ದುರಂತ ನಮ್ಮ ಪ್ರೇಕ್ಷಕ prabhugalna namboduu.. really tumbaa bejaar aytu ದಿಯಾ moviege e thara agiddu.. but prachaara kammi aytu anstide sir.. theatre inda movie hodmele saalu saalalli jana banduu keltidaare..
0,d bosss fans kade inda all the best prajju
0,hands up yav pada pa
1,beligge yeddhu bavige haarbekittu avaga kanasu nanasu agithithu
0,super togari tippa
0,kannadiga tysm anna....nivu comment madidakke...bt sry anna...bcaz nan insta use madalla
0,ಬಾ ಗುರು ಹೋಗಿ ಬರೋಣ ಫುಲ್ ಕಥೆ ಕೇಳ್ಕೊಂಡು ಬರೋಣ
0,editing yar guru 🤩
0,lo remake alla antha hekde tane
1,thu nem yogyathe ge maha vishnu hesaru ettu entha movie tegitira nachige agbeku nemge
1,parthasarathi ನಿನ್ ಅಕ್ಕುನ್
1,mast maga channel nalli baro anchor tharaane nimm voice idiyalla
1,parthasarathi tunnel unnu gandu
1,ಇಬ್ಬರು ಕಳ್ಳರೇ
1,nanu yash sudeep darshan appu cinema bittu yardu nodalla
0,kannada kagi like anu vathi n
1,parthasarathi ನಂದಿನಿ ನಂದಿನಿ ನಿನ್ ತುಲ್ಲ್ ಗಲೀಜು
0,howduu actually eee video nodakku munche indaanu nange ide reethi tumbaa saari hagu pade pade yeshto baari kansu beeltittu heege obbaa vyakti shiva devastana hatra irtane naanu devastaaana dinda aache baruvaga nanna hatra idid bilpatre na keltane but duddu maatra eeskolala but hieght agirtare tanned skin tone forehead poorthi gaaya agirutte but full body ashtaag kansalli gottagallaa but ivatt eee video nodid mele mostly avre irbeku antha anstu
1,binduge saryagi ugithidira good go ahead we are enjoying well
1,ಬೇವರ್ಸಿ ಚೀನಾ ನನ್ನ ಮಕ್ಕಳು
1,histu hellidri adre nimma background video pubg du kudanu chinese howrde alwa first ninu pubg na stop madinninu heliddu nanu tappu andilla adre hobbarige helo munche nanu correct agirabeku k mandon't feel bad anna
0,nam bhashee kannada njai karnataka jai kannada
1,channag ugide bro
0,super sog ng super dance
0,karavali karavali... itte boda marre?? film super hit aagbeku. bere statesnavru nammatha nodbeku aste...
1,odeya movie ginta ee movie super annoru like madi...
0,h p ಖಂಡಿತವಾಗಿಯೂ
0,ಸೂಪರ್ ಸೂಪರ್ ಸೂಪರ್ ಫ್ಯಾನ್ ಆಗೋದೇ bro ನಿಮಗೆ
1,nin naman sule gandu boli dagar drashan
0,ರಾಮ ರಾಮ ತುಸು ಧಕ್ಷ ವೃತ ಜಾರಿಪ. . .
0,kannadigaradavaru kelage like madi kannadabhimana torisi
0,dboss fansnyboss fansnkboss fans
0,ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ
0,d boss fans sapot iratte 100day
0,ಕನ್ನಡ ನಾಡಿನ ಹೆಮ್ಮೆಯ ಚಿತ್ರ
1,ರೀ ನಿಮ್ಮ ತಂದೆಯನ್ನು ನೆನೆದು ನೀವು ಮೊಸಳೆ ಕಣ್ಣೀರು ಹಾಕುತ್ತೀರಾ
0,in ond trip nodbeku but but sinama chenge madbittru olle movi ge olle respans illa nam karnatakadalli
0,36 m nvideo viral agthila
0,ವಿಭಿನ್ನ ಹಾಡು...nಅದ್ಭುತ ವಾಗಿದೆ ಶೇಟ್ರೆ
1,bindu lowda smartphones laptop kelvu brand chinade agidru nav use madtha erodakke already tax kattidivi en munde kattod beda antha heltha erodu
0,making r awesome bro..avlge ennu usbeku
0,hi nan nim vedios nodthini thumba funny agi roast madthira
0,ತುಂಬಾ ಒಳ್ಳೆಯ ಮಾಹಿತಿ ನೀಡಿದ್ದೀರಿ ಸರ್ ಧನ್ಯವಾದಗಳು ನಿಮಗೆ
0,film benki ide gurunkannada film industry li ide tara saviraru cinema barli
1,cc camera footage thegiri ..avratra keli mahabharata story
0,h r aadru avrige loss illa bron production house avru cleanaagi agreement maadkobeku alvaaa brooooo.....
0,abbbbaa super tik tok ban ayithu
0,my boss anna yash boss anna yash boss anna
0,mam osm mam ninu
1,main theater ella huduki sakagi hoythu
0,ತುಂಬಾ ಒಳ್ಳೆ ಸಿನೆಮಾ.. best movie of 2020 in kannada
0,january alli song keloru like madi
0,ಸುದ್ದಿ ಮಾಡುವ ಮಾದಕ ಹಾಡು ಕೇಳಿರಿ ಎಲ್ಲರು ......hands up
0,sir ಇದಂತೂ ದೊಡ್ಡ ಪ್ರಯತ್ನ ವಾಗಿದೆ . ನಮ್ಮ ಜನರಲ್ಲಿ ಪ್ರಾಯೋಗಿಕ ಮನೋಭಾವನೆ ಮೂಡಿಸುವ ಮತ್ತು ನಮ್ಮ ದೇಶದ ಜನರ ನೋನೋಬನೆ ಬಗ್ಗೆ ತುಂಬಾ ಚೆನ್ನಾಗಿ ಹೇಳಿದ್ದೀರಿ ಇಂತ ಪ್ರಯತ್ನ ಗಳಿಂದ ನಮ್ಮ ತಪ್ಪುಗಳ ಹರಿವು ಆಗುದು ಮತ್ತೆ ಬದಲಾವಣೆಗೂ ಸದ್ಯ ವಾಗುತ್ತೇ ದಯವಿಟ್ಟು ಇದೇ ತರಹದ ಇನು ಹೆಚ್ಚಿನ ವೀಡಿಯೋ ಗಳ ಅವಶ್ಯಕತೆ ಇದೇ. ನಿಮ್ಮ ಒಂದು ವಾಹಿನಿಯ ಮೂಲಕ ಜನರ ತಪ್ಪು ಹರಿವು ಆಗಬೇಕು....nನನ್ನ ಮೂಲಕ ನಿಮ್ಮ ಪ್ರಯತ್ನಕ್ಕೆ ಹೃದಯ ಪೂರಕ ಧನ್ಯವಾದಗಳು .
1,osm bro 🤣🤣🤣tiktok shok madutidru avayalla 🤣🤣🤣🤣🤣
1,parthasarathi ಹ ನೀನು ಮುಂಡೆ ನ ಎಲ್ಲಾ ಮುಂಡೆಗಂಡಾ ನ ..? i still confused
1,it's amazing movie. i think promotion sari agilla anta anista ide
0,ಸೂಪರ್ ಗುರು vp voice ultimate
0,ನೀವು ಹೇಳಿದ್ದರಲ್ಲಿ ಎನೂ ತಪ್ಪಿಲ್ಲ ...
0,suuper bro... nan idu vargu tik tok app install made illa
0,ee haadu spotify dalli yaake illa
1,ದಿಯಾ ಮತ್ತು ಲವ್ ಮಾಕಟೆಲ ಚಿತ್ರದ ಬಗ್ಗೆ ಪ್ರಚಾರ ಕಮ್ಮಿ ಆಗಿದೆ
0,niv helthiro hela mathu 100% sathya anna
0,hwdu guru alredy 30 sala nodidini
0,tik tok banu nan kicha sudeep fanu egide comment madi
1,yavd yavd movie ge hogi dud kharch madidvi...bejaragi hogad bittivi...dia movie mobile li nodid mele theater nali nodbeku anstide...
0,hela kannada people please go and watch the movieee avana sri man narayana kannada cinema nodi 🤗kannada jai karnataka mathee
1,ದೇಶಕ್ಕೋಸ್ಕರ ಒಂದು app uninstall ಮಾಡೊಕೆ ಆಗಲ್ಲ ಇವರಿಗೆ ಥೂ ಇವರ ಜನ್ಮಕ್ಕೆ
1,views struck aagide guru
0,tik tok ban agirodike nange tumba tumba kushi ide happy 🥰
0,nanu nodide suuuuuuuuuupppper innomme nodtini
0,just woww super prajju anna!! gud luck
1,ಮೊಬೈಲಲ್ಲಿ ಅಷ್ಟೊಂದ್ ಒಳ್ಳೇ ಕ್ಲಾರಿಟಿಲಿ ಬಿಟ್ಟಿದ್ದಾರೆ. ಎಲ್ರೂ ಡೌನ್‌ಲೋಡ್ ಮಾಡ್ಕೊಂಡ್ ನೋಡ್ತಿದಾರೆ. ಥಿಯೇಟರಿಗೆ ಜನ ಬರದೇ ಇರಲು ಕಾರಣ ಮೊಬೈಲಲ್ಲಿ ಲೀಕ್ ಆಗಿರೋದು.
0,super bro i am happy tik tok ban agidu super our modi ji super hero
1,hadu tubna hucu hedseda
0,ಪಜ್ಜು ಸರ್ ಗೆ ಒಳ್ಳೆ ಸಕ್ಸಸ್ ಸಿಗ್ಲಿ ತುಂಬಾ ಚನ್ನಾಗಿದೆ ಟ್ರೈಲರ್
0,song super annuru hands up madi
0,avane shriman narayan movie paka 100 days
0,enta matu super
0,like father like son jaga mechchuvanta manushya.
0,ಕಂಚಿನ ಕಂಠದಲ್ಲಿ ಮೂಡಿ ಬಂದ ತೊಗರಿತಿಪ್ಪ ಹಳೇ ನೆನಪು ತಾಜಾ ಮಾಡಿತು
0,ಏನೆ‌ ಆಗಲಿ ಮುಂದೆ ಸಾಗು ನಿ
0,hands up ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ fans
1,super sir
0,ನಿಮ್ಮ ಜೀವನ ಇನ್ನೂ ಚೆನ್ನಾಗಿ ಇರಲಿ
0,ಜೈ ಕನ್ನಡ
0,ಶಂಭು ಬಳೆಗಾರ ಸರ್ ಗೆ ತುಂಬಾ ದನ್ಯವಾದಗಳು
1,ಕನ್ನಡ ಒಂದೇ ಭಾಷೆಯಲ್ಲಿ ಬಕೆಟ್ದು ಕೆಜಿಎಫ್ ರಿಲೀಸ್ ಮಾಡಿದ್ರೆ 100 ಕೋಟಿ ಅಂತ ಪುಂಗಿಸೋಕೆ ಆಗಲ್ಲ ಅಂತ ಪಾನ್ ಇಂಡಿಯಾ ಅಂತ ಮಾಡಿದ್ರು ಹಾಗೆ ಕನ್ನಡ ಒಂದೇ ಭಾಷೆಯಲ್ಲಿ ರಿಲೀಸ್ ಮಾಡಿದ್ರೆ ಪ್ಲಾಪ್ ಆದ್ರೆ ಹಿಟ್ ಅಂತ ಹೇಳ್ಸೋಕೆ ಆಗಲ್ಲ ಅಂತ ಪಾನ್ ಇಂಡಿಯಾ ಮಾಡಿ 250 ಕೋಟಿ ಅಂತ ಪುಂಗಿ ಬಿಟ್ರು ಆದ್ರೆ ಬಕೆಟ್ ಮೂವಿ ಬಡ್ಜೆಟ್ ಏರಿಲ್ಲ ರೆಮ್ಯುನೆರೆಷನ್ ಏರಿಲ್ಲ ಈಗ ಅದೇ ಬಕೆಟ್ ಫಾರ್ಮುಲಾ ರಕ್ಷಿತ್ ಹಿಡಿತವ್ನೆ ಆದ್ರೆ ಈ ಮಂಗ ಮುಂಡೇವು ಏನೇ ಸರ್ಕಸ್ ಮಾಡಿದ್ರು ಪುಂಗಿ ಬಿಟ್ರು ಪ್ರೊಡ್ಯುಸರ್ ಯಾವನ್ ಇವ್ರು ಹತ್ತಿರ ಬರಲ್ಲ ಬಿಡ್ರೋ ಅದೇ ಲೋ ಬಡ್ಜೆಟ್ ಪ್ರೊಡ್ಯುಸರ್ ಬರ್ಬೇಕು ಅಷ್ಟೇ
0,pop corn monkey tiger kuda super idr
1,boy yappa modlu arta ago tara type maadu
0,g dambal
0,karnataka janeteinda all the best movie ge olledagali🥰🥰
1,karnatakakke bandaddela sullu swami swalpa reel biduvaga alochane maadi bidu
0,anna song super agi helidira sakath agi ide songdabbaaaaa tiktok
0,dada fans ಕಡೆಯಿಂದ ಅಲ್ಲ ದ ಬೆಸ್ಟ್
0,nija film ast channagidya nanu nodide nange kandita arta agle illa
0,ರಶ್ಮಿಕಾ ಮದನ ಡಗಾರ್
0,hindi. ?
0,super anna jai d boss
0,ನನ್ನ ಕಣ್ಣಂಚ್ಚಲಿ ನೀರು ಬಂತು..sir ur great
0,idu charitre srushtiso avatara...rakshith shetty fans like here
0,nammantavrge spoorti nivu sir
0,binduge saryagi ugithidira good go ahead we are enjoying well
0,ನಾನು ಸುಮಾರು ಈ ಹಾಡನ್ನು ಹದಿನೈದು ಬಾರಿ ನೋಡಿದ್ದೇನೆ ಯಾಕೆ ಗೊತ್ತಿಲ್ಲ ಇನ್ನು ನೋಡಬೇಕು ನೋಡಬೇಕು ಅನಿಸುತ್ತದೆ... ಅದೇತರ ಒಂದಕ್ಕಿಂತ ಹೆಚ್ಚು ಬಾರಿ ನೋಡುತ್ತಲೇ ಇರುವವರು ಲೈಕ್ ಮಾಡಿ
1,ningappa hutagannavar the best way is 4uíykhfjklbgkkñ
0,tik tok tarane act madidre hana sigutalva edanne etkondu. nam government mane manege items kottu products ready madi adanna videshakka marata madbeku matte nam janakke kamishon kotre voledalva. nam jangala kayyalli yake kelsa madkotilla .
0,jadesh kumar anna.. trailer is dashing
0,ಸೂಪರ್ ಬ್ರೋ
1,shetty nyeno alpa swalpa budhi upiyogiside
1,ನನ್ shata fil ಮಾಡದೆ bro
0,deserves more views.
0,ಅಣ್ಣ ಸರಿಯಾಗಿ ಹೇಳ್ದೆ .. super.
0,ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ
0,ಇವರ್ನ ಚೀನಾ ಬೋರ್ಡರ್ಗೆ ಕಳಸಬೇಕು ಗೊತ್ತ ಆಗುತ್ತೆ
0,ಗುರು ನಿನಗೆ ಧನ್ಯವಾದಗಳು
0,ಕರ್ನಾಟಕದ ಶ್ರೀಮನ್ನಾರಾಯಣ ಬಗ್ಗೆ ತಲೆ ಕೆಡಿಸಿಕೊಳ್ಳಬೇಡಿ promotion ನ ವಿಚಾರವಾಗಿ ಇಲ್ಲಿಗೆ ನಮ್ಮ ಟ್ರೋಲ್‌ಪೇಜ್ ನವರೆ ಸಾಕು..nಕರ್ನಾಟಕದಾಚೆಗೆ ಹೆಚ್ಚಿನ ಪ್ರಮೋಷನ್‌ನ ಅವಶ್ಯಕತೆ ಇದೆ. ಪ್ರಮುಖವಾಗಿ ಉತ್ತರ ಭಾರತದಲ್ಲಿ.nಇದು ಕನ್ನಡಿಗರ ವಿನಂತಿ
0,le tiktok hudugira yella pubg banni awm m4 use madodu hege anta helkodtini
0,please ಇನ್ನೊಂದು ಸಾರಿ re release maadi.
0,supar friend supar
1,kalki you only say brother your name is kalki no then say
1,🤔🤔🤔 hello thamma navu unity maintain madthivi aithu thorskolo avyashyakathe namgila nin cmt nodid kudle yavan avr fanism bidkodala 🤣🤣 nin kano doddu sede nan maga
0,daily ondhsalanadru ee song na kele kelthivi annovru attendence haki
0,*ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಠಿಸೂ ಅವತಾರ ನೋಡಿ ಅವನೇ ಶ್ರೀಮಾನ್ ನಾರಾಯಣ*
1,sharu nin ammun tullge nan tunne sigaka berke sule magne
0,super bro nim vioce ale ede desha prema full enjoy video super
0,h ahamad bava ಅಣ್ಣ ಒಂದೆರಡು ಪದ ಬಿಟ್ಟು ಇನ್ನೂ ಉಳಿದ ಪದ ಅಚ್ಚ ಕನ್ನಡದಲ್ಲಿ ಇದೆ ಅಲ್ವಾ?
0,ತುಂಬಾ ನಗು ಬಂತು ಗುರು
0,bgm..nnwaiting avane srimannarayan and yuvarthnaa
1,addu. pubg alla. guru. sumney. elbedda
1,kumar banthu jaathi naayi savi savi nenapu soole sudeepu pans for a reason 🤣🤪
1,yav ree dislike kodoru kannada movies belibek fist kannada next hero's elru nammavare...
0,ondu sakagalla inna beku
0,entertainment andre hidu huliyaaaa
0,nin video delete agolla bidu bro ninge nav support madtivi innu e tara videos na mattastu madu chaina bucket galige tale kediskobeda
1,prakash kittoyta?
0,anna game yavudu anna adu
0,ಈ ಹಾಡು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸುತ್ತೆ ಅನ್ನೋರು ಲೈಕ್ ಮಾಡಿ
0,ಹಾಡಿನಲ್ಲಿರುವ ಪದಪುಂಜವನ್ನು ಬಳಿಸಿದ ರೀತಿಯೇ ಅತಿ ಅದ್ಭುತ....
0,ದೇಶ ಕಾಯಕ್ಕೆ ಯೋಧ ಇರಬೇಕು ತೀರಿಪೆ ಶೋಕಿ ಮಾಡಿದವರಿಗೆ ಟ್ರೋಲ್ ಮಾಡೋರು ಇರಬೇಕು
0,pubge sontekorya kano
0,promotion ಚನ್ನಾಗಿ ಮಾಡಿ sir. yeno sir karnataka outside film sound ಮಾಡ್ತಾ ಇಲ್ಲ. ನಿಮಗಿಂತ ನಮಿಗೆ ಈ ಫಿಲ್ಮ ಹಿಟ್ ಆಗಲ್ಲಿ ಅನೋ ಆಸೆ ಇದೆ sir.
1,thu thukali trailer
0,super gichhi gili gili boss
0,jogimane okay
0,nim matalle gottagutte neevu estu positive anta
1,re e video post agiddu yavaga apps ban agirodu yavaga adu moldu nodir sumne yeneno mathadbedi
1,shivamogga **uter
1,worst song ever...
0,ಇದು ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೋ ಅವತಾರ nನಿಮ್ಮಂತಹ ಸೃಜನಶೀಲ ಮತ್ತು ಚಾಣಕ್ಯ movie maker ನಮ್ಮ ಕರ್ನಾಟಕದಲ್ಲಿ ಇರುವುದು ನಮಗೆ ಹೆಮ್ಮೆ
1,vijaykumar s kumsi hotelnkumsi
0,ನಮ್ಮ ಚಂದನವನದ ಚಲನಚಿತ್ರಗಳು ತುಂಬಾ ವಿಭಿನ್ನವಾಗಿ ವಿಶಿಷ್ಟವಾಗಿ ಸುಂದರವಾಗಿ ಮೂಡಿ ಬರುತ್ತವೆ ಇದು ನಮ್ಮ ಹೆಮ್ಮೆಯ ಕನ್ನಡದ ಸಿನಿಮಾಗಳು ಯಾವ ಪರ ಬಾಷೆ ಚಲನಚಿತ್ರಗಳಿಗೂ ನಮ್ಮ ಕನ್ನಡ ಸಿನಿಮಮಾಗಳು ಕಮ್ಮಿ ಇಲ್ಲ ಕನ್ನಡವೇ ಸತ್ಯ ಕನ್ನಡವೇ ನಿತ್ಯ
0,super singing by vijay prakash...
0,dina 7-8 sala song kelisikontini.
0,bahala varshada nantara togari tippa hasya keli santosh aayitu thank you for this video
0,an voice super story nakku nakku otte hunnatri
0,chenagide anta pade pade nodoru swalpa husharu data khali aguthe
0,movie is super
1,ha gandu sule maga sikkre katte mele meravanige madi kallu odedu sayisbeku
0,next level gurunin benki bhai
0,osm vedio anna
1,spalling misteek madbardu.... adu d boos
0,ನಿಜವಾಗಿಯೂ ಅಣ್ಣ hands off to you.. ಧನ್ಯವಾದಗಳು...
0,ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ
0,nimma news keltha eddre
0,sir ನಿಮ್ಮ ಮಾತು 100 ಕ್ಕೆ ೧೦೦% ಸತ್ಯ..
0,but kone yalli police magala jeevana da bagge clarity kodbekittu... nidondu bittu film matra
0,thumba chennagide nimma abhipraya..
0,idu charitre srastiso avatara
0,ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ
0,chaithra enu sinchana gottaglilla
1,tejashands up ande kai ettu annadukka agutta
0,e film yar yar nodiddera 🤘 like madi
0,yanta jana brother nam deshakkoskara 1 app delete madoke agalva avarige
0,super jai kiccha sudeep anna
0,parvagilla....buzz is good in hindi too..see bms
0,yas re relis madi
0,arajun galagali thippesh
1,onde ond cmnt ketudag idre torso childe🤣🤣nnamdu olle respected family nimdeno gotila...modlu tilkond helu bayig bandang helak nangu barutte...nan hesru katkond ningen agbeku
